repo,Stars,URL,Scorecard Score,Detailed Score,CVE Count,Average CVE Score,CVE Links,GitHub Commit (2024-09-01),CVE GitHub References,Commit / code contribution volume issues,Code submission frequency / update frequency issues,Meta Data-Other,Low test coverage / insufficient test suite capability,Test-Other,High developer concentration,Few new developers,Severe developer attrition,Developer-Other,High total vulnerability count (can directly refer to the repo’s security items),Takes a long time to resolve or close an issue / high labor cost,Too Many Open Issues,Issue-Other
repo:argoproj/argo-helm,2085,https://github.com/argoproj/argo-helm,9.6,"{'Binary-Artifacts': 10.0, 'CI-Tests': 4.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 9.0}",1,8.3,https://www.cve.org/CVERecord?id=CVE-2024-52799,https://github.com/argoproj/argo-helm/tree/e709ba3b5a643f18bb435b00b9b4aab5e985b52b,https://github.com/argoproj/argo-helm/security/advisories/GHSA-fgrf-2886-4q7m; https://github.com/argoproj/argo-helm/commit/81dc44c4a5ccd42c799469a78eb96a68048a4987,,,,,,1,1,1,,,,,
repo:codeigniter4/codeigniter4,5730,https://github.com/codeigniter4/CodeIgniter4,9.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 10.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 8.0}",1,9.8,https://www.cve.org/CVERecord?id=CVE-2025-54418,https://github.com/codeigniter4/CodeIgniter4/tree/a9925c740e180c96c25bac5fbb4ec90005eacc76,https://github.com/codeigniter4/CodeIgniter4/security/advisories/GHSA-9952-gv64-x94c; https://github.com/codeigniter4/CodeIgniter4/commit/e18120bff1da691e1d15ffc1bf553ae7411762c0,,,,,,1,1,1,,1,,,
repo:sylius/sylius,8307,https://github.com/Sylius/Sylius,9.2,"{'Binary-Artifacts': 10.0, 'CI-Tests': 5.0, 'Code-Review': 10.0, 'License': 10.0, 'Security-Policy': 9.0, 'Vulnerabilities': 9.0}",1,7.5,https://www.cve.org/CVERecord?id=CVE-2024-57610,https://github.com/Sylius/Sylius/tree/77ca7f4afe98957909f7bc99dc8bd7087d095add,https://github.com/Sylius/Sylius; https://github.com/nca785/CVE-2024-57610,,,,,,,,1,,1,1,1,
repo:powsybl/powsybl-core,143,https://github.com/powsybl/powsybl-core,8.9,"{'Binary-Artifacts': 10.0, 'CI-Tests': 1.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 5.0}",1,8.1,https://www.cve.org/CVERecord?id=CVE-2025-47771,https://github.com/powsybl/powsybl-core/tree/503ef2defde6283f0d7f44fe4646dc522e5b0726,https://github.com/powsybl/powsybl-core/security/advisories/GHSA-f5cx-h789-j959; https://github.com/powsybl/powsybl-core/commit/8ed16ce41683c4aef5f6aa1dd5ae8642aa5ed2bd; https://github.com/powsybl/powsybl-core/releases/tag/v6.7.2,,,,,,,,,,,1,,
repo:pimcore/pimcore,3638,https://github.com/pimcore/pimcore,8.8,"{'Binary-Artifacts': 10.0, 'CI-Tests': 5.0, 'Code-Review': 8.0, 'License': 9.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",1,8.7,https://www.cve.org/CVERecord?id=CVE-2024-49370,https://github.com/pimcore/pimcore/tree/057aa1c48c58d9451587db89448cba92a5f41a05,https://github.com/pimcore/pimcore/security/advisories/GHSA-74p5-77rq-gfqc,,,,1,,,,,,1,,,Many bugs have a “PR welcome” label; it feels like the maintainers are already overloaded
repo:open-quantum-safe/liboqs,2510,https://github.com/open-quantum-safe/liboqs,8.6,"{'Binary-Artifacts': 10.0, 'CI-Tests': 2.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 9.0, 'Pinned-Dependencies': 8.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 4.0}",1,7.4,https://www.cve.org/CVERecord?id=CVE-2024-54137,https://github.com/open-quantum-safe/liboqs/tree/6d92fc4a6ed82895a8ebd47111d1e0169c424f5d,https://github.com/open-quantum-safe/liboqs/security/advisories/GHSA-gpf4-vrrw-r8v7; https://github.com/open-quantum-safe/liboqs/commit/cce1bfde4e52c524b087b9687020d283fbde0f24,,1,Sometimes there is only one commit per week; the community lacks vitality,,,1,1,1,,,,1,Security issues caused by dependency libraries
repo:nixos/nix,15158,https://github.com/NixOS/nix,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 9.0, 'Code-Review': 9.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 0.0, 'Security-Policy': 9.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 8.0}",2,8.5,https://www.cve.org/CVERecord?id=CVE-2024-45593; https://www.cve.org/CVERecord?id=CVE-2025-53819,https://github.com/NixOS/nix/tree/9cc550d65252d3ad822cc12496ef71482c47ff7e,https://github.com/NixOS/nix/security/advisories/GHSA-h4vv-h3jq-v493; https://github.com/NixOS/nix/commit/eb11c1499876cd4c9c188cbda5b1003b36ce2e59; https://github.com/NixOS/nix/security/advisories/GHSA-qc7j-jgf3-qmhg; https://github.com/NixOS/nix/pull/13281; https://github.com/NixOS/nix/pull/13455; https://github.com/NixOS/nix/commit/e2ef2cfcbc83ea01308ee64c38a58707ab23dec3,,,,1,"Most vulnerabilities are related to privilege escalation/unauthorized access, which to some extent indicates the test suite does not cover the relevant behavior",,1,,,,,1,
repo:automattic/mongoose,27365,https://github.com/Automattic/mongoose,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 10.0, 'Code-Review': 7.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 3.0, 'Security-Policy': 9.0, 'Token-Permissions': 9.0, 'Vulnerabilities': 8.0}",2,9.05,https://www.cve.org/CVERecord?id=CVE-2024-53900; https://www.cve.org/CVERecord?id=CVE-2025-23061,https://github.com/Automattic/mongoose/tree/40623bbec0aec1a622b562af9a731fe5f1306c75,https://github.com/Automattic/mongoose/releases; https://github.com/Automattic/mongoose/blob/master/CHANGELOG.md; https://github.com/Automattic/mongoose/commit/c9e86bff7eef477da75a29af62a06d41a835a156; https://github.com/advisories/GHSA-m7xq-9374-9rvx; https://github.com/Automattic/mongoose/blob/master/CHANGELOG.md; https://github.com/Automattic/mongoose/releases/tag/8.9.5; https://github.com/Automattic/mongoose/commit/64a9f9706f2428c49e0cfb8e223065acc645f7bc,,,,,,1,1,1,,,,,No security.md
repo:ratify-project/ratify,279,https://github.com/ratify-project/ratify,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 8.0, 'Code-Review': 10.0, 'Dangerous-Workflow': 10.0, 'License': 10.0, 'Pinned-Dependencies': 10.0, 'Security-Policy': 10.0, 'Token-Permissions': 10.0, 'Vulnerabilities': 0.0}",1,7.2,https://www.cve.org/CVERecord?id=CVE-2025-27403,https://github.com/notaryproject/ratify/tree/b2e5bfa64bcde5f28e38fda8df2d18c05a13a28b,https://github.com/ratify-project/ratify/security/advisories/GHSA-44f7-5fj5-h4px; https://github.com/ratify-project/ratify/commit/0ec0c08490e3d672ae64b1a220c90d5484f1c93f; https://github.com/ratify-project/ratify/commit/84c7c48fa76bb9a1c9583635d1e90bc25b1a546c,,,,,,3,,1,,,,,There have been no new issues in the project for several months
repo:firebase/php-jwt,9697,https://github.com/firebase/php-jwt,8.5,"{'Binary-Artifacts': 10.0, 'CI-Tests': 0.0, 'Code-Review': 8.0, 'License': 10.0, 'Security-Policy': 10.0, 'Vulnerabilities': 9.0}",1,7.3,https://www.cve.org/CVERecord?id=CVE-2025-45769,https://github.com/firebase/php-jwt/tree/76808fa227f3811aa5cdb3bf81233714b799a5b5,https://github.com/firebase/php-jwt; https://github.com/firebase; https://gist.github.com/ZupeiNie/83756316c4c24fe97a50176a92608db3,1,1,Fewer than 10 commits per year,1,The test scripts are very limited,,,,,,1,,Secret key length does not meet the standard. This kind of error should have been detected by methods such as asset checking
